rank,prev_rank,name,league,off,def,spi
444,432,Valerenga,Norwegian Tippeligaen,1.05,1.74,30.82
445,476,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.06,1.76,30.62
446,450,Jahn Regensburg,German 2. Bundesliga,1.03,1.72,30.62
447,419,Kayserispor,Turkish Turkcell Super Lig,1.07,1.78,30.59
448,445,CD Sabadell,Spanish Segunda Division,0.96,1.64,30.3
449,448,AC Ajaccio,French Ligue 2,0.81,1.43,30.26
450,455,Wellington Phoenix,Australian A-League,1.1,1.83,30.17
451,452,Logrones,Spanish Segunda Division,0.94,1.63,30.1
452,456,Panetolikos,Greek Super League,0.86,1.51,30.07
453,435,San Antonio FC,United Soccer League,1.13,1.88,30.01
454,458,Colon Santa Fe,Argentina Primera Division,0.83,1.48,29.95
455,443,Lecce,Italy Serie B,0.96,1.66,29.93
456,469,Kilmarnock,Scottish Premiership,0.94,1.63,29.91
457,451,Erzgebirge Aue,German 2. Bundesliga,0.95,1.65,29.85
458,447,FC Cartagena,Spanish Segunda Division,0.93,1.63,29.81
459,461,Godoy Cruz,Argentina Primera Division,0.94,1.64,29.76
460,470,FC St. Pauli,German 2. Bundesliga,1.06,1.8,29.73
461,463,Paris FC,French Ligue 2,0.88,1.56,29.66
462,464,Mazatlán FC,Mexican Primera Division Torneo Apertura,0.93,1.63,29.66
463,462,SuperSport United,South African ABSA Premier League,0.81,1.46,29.64
464,453,IK Sirius,Swedish Allsvenskan,1.14,1.93,29.63
465,457,Auxerre,French Ligue 2,0.86,1.54,29.42
466,467,Adelaide United,Australian A-League,1.22,2.05,29.37
467,471,Sochaux,French Ligue 2,0.84,1.52,29.3
468,446,Urawa Red Diamonds,Japanese J League,1.06,1.83,29.25
469,444,Lugo,Spanish Segunda Division,0.86,1.56,29.25
470,468,RKC,Dutch Eredivisie,1.04,1.82,29.1
471,460,AS Nancy Lorraine,French Ligue 2,0.77,1.45,28.81
472,472,Denizlispor,Turkish Turkcell Super Lig,0.86,1.58,28.77
473,477,Tampa Bay Rowdies,United Soccer League,0.87,1.6,28.65
474,478,Bidvest Wits,South African ABSA Premier League,0.74,1.44,28.42
475,479,Frosinone,Italy Serie B,0.86,1.6,28.39
476,489,Livingston,Scottish Premiership,0.96,1.75,28.36
477,474,Albacete,Spanish Segunda Division,0.75,1.45,28.31
478,480,Larissa,Greek Super League,0.7,1.38,28.18
479,475,Peterborough United,English League One,0.97,1.79,27.86
480,483,IFK Goteborg,Swedish Allsvenskan,0.92,1.72,27.86
481,465,Montreal Impact,Major League Soccer,1.05,1.91,27.76
482,493,Stabaek,Norwegian Tippeligaen,0.93,1.75,27.62
483,486,AC Horsens,Danish SAS-Ligaen,0.9,1.71,27.61
484,485,Lamia,Greek Super League,0.55,1.18,27.53
485,481,Dunkerque,French Ligue 2,0.86,1.66,27.42
486,512,Oxford United,English League One,0.93,1.77,27.35
487,487,Niort,French Ligue 2,0.85,1.66,27.27
488,490,Chievo Verona,Italy Serie B,0.82,1.62,27.25
489,499,Haugesund,Norwegian Tippeligaen,0.96,1.82,27.18
490,511,Doncaster Rovers,English League One,0.91,1.76,27.15
491,503,Cittadella,Italy Serie B,0.88,1.71,27.07
492,497,Oita Trinita,Japanese J League,0.77,1.56,26.97
493,473,DC United,Major League Soccer,0.86,1.7,26.89
494,491,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
495,492,Western Sydney FC,Australian A-League,1.07,2.0,26.8
496,505,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.0,1.9,26.78
497,484,Motherwell,Scottish Premiership,0.84,1.67,26.72
498,500,Orebro SK,Swedish Allsvenskan,0.92,1.79,26.67
499,495,Melbourne Victory,Australian A-League,1.07,2.01,26.6
500,488,Eintracht Braunschweig,German 2. Bundesliga,0.86,1.72,26.55
501,507,Östersunds FK,Swedish Allsvenskan,0.73,1.53,26.45
502,496,Western United,Australian A-League,1.02,1.96,26.35
503,509,Rodez,French Ligue 2,0.82,1.67,26.31
504,498,Brisbane Roar,Australian A-League,0.91,1.81,26.16
505,506,FC Xanthi,Greek Super League,0.58,1.33,25.81
506,510,Waasland-Beveren,Belgian Jupiler League,1.07,2.08,25.69
507,504,Mjallby,Swedish Allsvenskan,0.93,1.89,25.3
508,482,Consadole Sapporo,Japanese J League,0.92,1.87,25.29
509,494,Charlton Athletic,English League One,0.88,1.83,25.11
510,501,Lyngby,Danish SAS-Ligaen,0.82,1.75,25.05
511,508,Chateauroux,French Ligue 2,0.74,1.63,25.04
512,547,Sagan Tosu,Japanese J League,0.78,1.69,25.04
513,502,Salford City,English League Two,0.88,1.83,25.01
514,519,Chambly Thelle FC,French Ligue 2,0.76,1.67,24.96
515,520,Würzburger Kickers,German 2. Bundesliga,0.84,1.78,24.93
516,525,Wigan,English League One,0.89,1.89,24.59
517,524,Reggina,Italy Serie B,0.84,1.81,24.54
518,513,FC Cincinnati,Major League Soccer,0.77,1.7,24.53
519,516,Stromsgodset,Norwegian Tippeligaen,1.01,2.08,24.31
520,518,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
521,521,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
522,515,Salernitana,Italy Serie B,0.8,1.79,23.84
523,523,Sacramento Republic FC,United Soccer League,0.86,1.89,23.81
524,514,Cremonese,Italy Serie B,0.73,1.69,23.77
525,528,SK Brann,Norwegian Tippeligaen,0.81,1.82,23.68
